"filename", "language", "TypeScript React", "CSS", "TypeScript", "XML", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\K\Desktop\gym-app\front\src\pages\home\Home.css", "CSS", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\K\Desktop\gym-app\front\src\pages\home\Home.tsx", "TypeScript React", 49, 0, 0, 0, 0, 0, 0, 6, 55
"c:\Users\K\Desktop\gym-app\front\src\pages\manageOffers\ManageOffers.css", "CSS", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\K\Desktop\gym-app\front\src\pages\manageOffers\ManageOffers.tsx", "TypeScript React", 137, 0, 0, 0, 0, 0, 0, 11, 148
"c:\Users\K\Desktop\gym-app\front\src\pages\profile\Profile.css", "CSS", 0, 34, 0, 0, 0, 0, 3, 8, 45
"c:\Users\K\Desktop\gym-app\front\src\pages\profile\Profile.tsx", "TypeScript React", 275, 0, 0, 0, 0, 0, 0, 21, 296
"c:\Users\K\Desktop\gym-app\front\src\pages\trainerDetails\TrainerDetails.css", "CSS", 0, 62, 0, 0, 0, 0, 0, 5, 67
"c:\Users\K\Desktop\gym-app\front\src\pages\trainerDetails\TrainerDetails.tsx", "TypeScript React", 421, 0, 0, 0, 0, 0, 0, 34, 455
"c:\Users\K\Desktop\gym-app\front\src\pages\trainerManageReservations\TrainerManageReservations.tsx", "TypeScript React", 117, 0, 0, 0, 0, 0, 0, 12, 129
"c:\Users\K\Desktop\gym-app\front\src\pages\trainerUsers\TrainerUsers.tsx", "TypeScript React", 168, 0, 0, 0, 0, 0, 0, 13, 181
"c:\Users\K\Desktop\gym-app\front\src\pages\trainers\Trainers.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\K\Desktop\gym-app\front\src\pages\trainers\Trainers.tsx", "TypeScript React", 30, 0, 0, 0, 0, 0, 1, 5, 36
"c:\Users\K\Desktop\gym-app\front\src\pages\userCalendar\UserCalendar.tsx", "TypeScript React", 345, 0, 0, 0, 0, 0, 1, 35, 381
"c:\Users\K\Desktop\gym-app\front\src\pages\users\Users.css", "CSS", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\K\Desktop\gym-app\front\src\pages\users\Users.tsx", "TypeScript React", 210, 0, 0, 0, 0, 0, 0, 17, 227
